refund_id,order_id,customer_id,refund_date,refund_amount,refund_reason,refund_method,refund_status,currency
REF00000645,ORD00027304,CUST002347,2023-03-18,1232.33,Damaged Item,Gift Card,Approved,USD
REF00000646,ORD00018358,CUST001290,2026-03-21,956.59,Quality Issue,Original Payment Method,Rejected,USD
REF00000647,ORD00010165,CUST003389,2025-06-29,3550.23,Quality Issue,Gift Card,Approved,USD
REF00000648,ORD00008418,CUST002699,2026-03-18,636.37,Damaged Item,Bank Transfer,Approved,USD
REF00000649,ORD00004667,CUST004792,2024-10-29,770.71,Missing Parts,Gift Card,Pending,USD
REF00000650,ORD00025111,CUST002249,2024-03-13,2036.99,Wrong Product,Gift Card,Approved,USD
REF00000651,ORD00007625,CUST004426,2025-11-29,833.29,Wrong Product,Original Payment Method,Approved,USD
REF00000652,ORD00004370,CUST002448,2026-07-30,2750.79,Customer Changed Mind,Gift Card,Approved,USD
REF00000653,ORD00028941,CUST000574,2026-05-18,1377.59,Duplicate Charge,Store Credit,Approved,USD
REF00000654,ORD00022097,CUST004566,2024-08-20,4139.26,Damaged Item,Gift Card,Approved,USD
REF00000655,ORD00019632,CUST002061,2023-12-10,731.96,Wrong Product,Gift Card,Approved,USD
REF00000656,ORD00028933,CUST002446,2025-05-23,151.13,Customer Changed Mind,Gift Card,Approved,USD
REF00000657,ORD00028375,CUST003197,2024-05-20,375.16,Quality Issue,Gift Card,Approved,USD
REF00000658,ORD00010392,CUST000701,2025-04-26,554.7,Product Not as Described,Bank Transfer,Approved,USD
REF00000659,ORD00016944,CUST002832,2023-04-21,830.53,Customer Changed Mind,Store Credit,Pending,USD
REF00000660,ORD00011767,CUST003832,2024-01-30,2793.86,Product Not as Described,Bank Transfer,Approved,USD
REF00000661,ORD00011041,CUST002816,2023-07-05,710.61,Missing Parts,Gift Card,Approved,USD
REF00000662,ORD00018156,CUST004709,2024-02-14,901.9,Quality Issue,Store Credit,Approved,USD
REF00000663,ORD00011511,CUST000782,2026-05-07,4271.57,Missing Parts,Store Credit,Rejected,USD
REF00000664,ORD00015400,CUST004521,2023-11-28,1210.75,Duplicate Charge,Bank Transfer,Approved,USD
REF00000665,ORD00017766,CUST000101,2025-11-05,745.99,Missing Parts,Bank Transfer,Approved,USD
REF00000666,ORD00020256,CUST003984,2023-07-21,49.27,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000667,ORD00027371,CUST004072,2026-07-30,1538.96,Customer Changed Mind,Bank Transfer,Pending,USD
REF00000668,ORD00002474,CUST000011,2023-05-11,387.53,Quality Issue,Original Payment Method,Approved,USD
REF00000669,ORD00011980,CUST004067,2023-03-02,2137.55,Product Not as Described,Store Credit,Approved,USD
REF00000670,ORD00027959,CUST003081,2026-02-12,397.82,Product Not as Described,Bank Transfer,Rejected,USD
REF00000671,ORD00008985,CUST000029,2025-04-11,2667.66,Quality Issue,Original Payment Method,Approved,USD
REF00000672,ORD00020885,CUST004067,2023-08-28,277.36,Customer Changed Mind,Store Credit,Approved,USD
REF00000673,ORD00010459,CUST003285,2024-01-02,19.53,Wrong Product,Store Credit,Approved,USD
REF00000674,ORD00028800,CUST003335,2025-09-30,195.69,Customer Changed Mind,Gift Card,Approved,USD
REF00000675,ORD00023747,CUST004755,2025-10-30,158.6,Damaged Item,Original Payment Method,Approved,USD
REF00000676,ORD00002065,CUST001390,2024-04-11,603.63,Missing Parts,Original Payment Method,Approved,USD
REF00000677,ORD00020721,CUST002913,2026-03-05,693.69,Quality Issue,Store Credit,Approved,USD
REF00000678,ORD00001413,CUST003493,2025-03-15,65.9,Late Delivery,Original Payment Method,Approved,USD
REF00000679,ORD00018001,CUST000340,2024-05-11,3251.65,Quality Issue,Original Payment Method,Approved,USD
REF00000680,ORD00025637,CUST000140,2026-03-30,153.48,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000681,ORD00023093,CUST000938,2025-06-20,341.98,Quality Issue,Store Credit,Approved,USD
REF00000682,ORD00029298,CUST003359,2023-07-19,485.7,Duplicate Charge,Original Payment Method,Approved,USD
REF00000683,ORD00007058,CUST002869,2023-06-09,1996.87,Late Delivery,Gift Card,Approved,USD
REF00000684,ORD00004773,CUST001057,2024-05-20,1239.09,Quality Issue,Bank Transfer,Approved,USD
REF00000685,ORD00021022,CUST004138,2025-10-29,1764.73,Duplicate Charge,Gift Card,Approved,USD
REF00000686,ORD00023245,CUST003221,2024-08-08,3229.23,Missing Parts,Store Credit,Approved,USD
REF00000687,ORD00023613,CUST003922,2025-10-02,3402.57,Duplicate Charge,Gift Card,Pending,USD
REF00000688,ORD00000751,CUST001890,2024-12-01,1537.05,Product Not as Described,Gift Card,Approved,USD
REF00000689,ORD00009884,CUST003271,2025-04-24,3512.94,Damaged Item,Original Payment Method,Approved,USD
REF00000690,ORD00023430,CUST002070,2023-11-19,757.75,Late Delivery,Bank Transfer,Approved,USD
REF00000691,ORD00015821,CUST000615,2026-03-18,939.02,Product Not as Described,Store Credit,Approved,USD
REF00000692,ORD00019458,CUST002200,2024-05-31,3401.24,Wrong Product,Original Payment Method,Rejected,USD
REF00000693,ORD00012863,CUST003240,2025-04-28,2285.74,Damaged Item,Store Credit,Approved,USD
REF00000694,ORD00026376,CUST004391,2023-11-16,788.24,Missing Parts,Bank Transfer,Approved,USD
REF00000695,ORD00008730,CUST001487,2025-10-10,316.95,Missing Parts,Original Payment Method,Rejected,USD
REF00000696,ORD00028395,CUST003794,2024-03-25,244.97,Duplicate Charge,Bank Transfer,Approved,USD
REF00000697,ORD00006313,CUST000305,2025-11-13,46.59,Late Delivery,Bank Transfer,Rejected,USD
REF00000698,ORD00007958,CUST003263,2024-02-21,530.98,Missing Parts,Original Payment Method,Approved,USD
REF00000699,ORD00004183,CUST002235,2025-03-22,1916.8,Wrong Product,Bank Transfer,Approved,USD
REF00000700,ORD00020385,CUST001992,2023-02-09,4418.64,Missing Parts,Store Credit,Approved,USD
REF00000701,ORD00008475,CUST004344,2025-10-02,3307.65,Late Delivery,Store Credit,Approved,USD
REF00000702,ORD00012874,CUST002626,2023-11-18,753.89,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000703,ORD00025219,CUST003287,2025-12-06,224.91,Late Delivery,Gift Card,Approved,USD
REF00000704,ORD00012033,CUST003490,2023-04-25,497.75,Product Not as Described,Store Credit,Approved,USD
REF00000705,ORD00022627,CUST000009,2023-11-27,2363.18,Product Not as Described,Original Payment Method,Approved,USD
REF00000706,ORD00001678,CUST000163,2025-02-09,1070.2,Duplicate Charge,Store Credit,Rejected,USD
REF00000707,ORD00007653,CUST001039,2024-05-26,2603.82,Quality Issue,Original Payment Method,Pending,USD
REF00000708,ORD00025520,CUST002982,2024-02-10,794.73,Duplicate Charge,Bank Transfer,Approved,USD
REF00000709,ORD00000342,CUST003250,2024-10-11,286.98,Product Not as Described,Original Payment Method,Approved,USD
REF00000710,ORD00000597,CUST002883,2023-07-10,885.97,Product Not as Described,Original Payment Method,Approved,USD
REF00000711,ORD00013339,CUST003109,2023-03-12,614.52,Missing Parts,Original Payment Method,Approved,USD
REF00000712,ORD00010583,CUST003133,2024-12-16,168.14,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000713,ORD00026665,CUST000181,2026-01-21,18.2,Missing Parts,Store Credit,Approved,USD
REF00000714,ORD00001909,CUST003037,2023-04-12,555.2,Late Delivery,Bank Transfer,Pending,USD
REF00000715,ORD00012065,CUST001248,2024-07-15,1606.46,Late Delivery,Store Credit,Approved,USD
REF00000716,ORD00021388,CUST003697,2025-09-17,3981.65,Late Delivery,Original Payment Method,Approved,USD
REF00000717,ORD00025331,CUST000960,2025-03-05,1188.71,Missing Parts,Gift Card,Approved,USD
REF00000718,ORD00012052,CUST002719,2023-06-26,649.32,Wrong Product,Gift Card,Approved,USD
REF00000719,ORD00005744,CUST001331,2024-04-01,1133.54,Duplicate Charge,Gift Card,Pending,USD
REF00000720,ORD00009927,CUST004620,2026-06-18,1361.2,Wrong Product,Gift Card,Approved,USD
REF00000721,ORD00007184,CUST003539,2024-04-05,658.21,Product Not as Described,Original Payment Method,Approved,USD
REF00000722,ORD00008161,CUST000935,2026-07-21,545.42,Wrong Product,Bank Transfer,Approved,USD
REF00000723,ORD00010137,CUST003118,2025-05-14,1191.79,Duplicate Charge,Original Payment Method,Approved,USD
REF00000724,ORD00006865,CUST003251,2024-12-02,777.71,Late Delivery,Original Payment Method,Approved,USD
REF00000725,ORD00007539,CUST000241,2026-01-08,1471.49,Duplicate Charge,Bank Transfer,Pending,USD
REF00000726,ORD00027755,CUST001809,2026-04-21,483.94,Product Not as Described,Bank Transfer,Approved,USD
REF00000727,ORD00005598,CUST003786,2023-11-20,727.6,Missing Parts,Gift Card,Approved,USD
REF00000728,ORD00026957,CUST000512,2025-12-19,1747.96,Late Delivery,Store Credit,Pending,USD
REF00000729,ORD00005500,CUST000669,2023-08-16,3706.07,Product Not as Described,Original Payment Method,Approved,USD
REF00000730,ORD00024601,CUST003441,2026-01-27,490.99,Product Not as Described,Bank Transfer,Pending,USD
REF00000731,ORD00029527,CUST001982,2023-04-14,202.98,Damaged Item,Gift Card,Approved,USD
REF00000732,ORD00008994,CUST004561,2024-05-28,1625.71,Quality Issue,Store Credit,Approved,USD
REF00000733,ORD00013672,CUST002562,2024-03-17,32.03,Wrong Product,Bank Transfer,Approved,USD
REF00000734,ORD00026926,CUST004675,2025-06-29,801.25,Product Not as Described,Store Credit,Approved,USD
REF00000735,ORD00012413,CUST000932,2023-12-12,1392.47,Customer Changed Mind,Store Credit,Pending,USD
REF00000736,ORD00028263,CUST000476,2024-02-22,1269.91,Missing Parts,Gift Card,Approved,USD
REF00000737,ORD00019655,CUST000109,2023-06-03,492.32,Late Delivery,Store Credit,Approved,USD
REF00000738,ORD00020518,CUST002951,2024-06-07,784.75,Duplicate Charge,Bank Transfer,Approved,USD
REF00000739,ORD00008396,CUST004023,2024-06-14,902.14,Damaged Item,Store Credit,Approved,USD
REF00000740,ORD00023495,CUST004055,2024-12-17,3933.2,Wrong Product,Gift Card,Approved,USD
REF00000741,ORD00001248,CUST000638,2025-10-27,782.07,Missing Parts,Original Payment Method,Approved,USD
REF00000742,ORD00005892,CUST004943,2023-02-14,1823.35,Late Delivery,Bank Transfer,Pending,USD
REF00000743,ORD00018444,CUST000885,2023-10-18,1644.58,Duplicate Charge,Original Payment Method,Approved,USD
REF00000744,ORD00021688,CUST002634,2026-01-06,26.96,Quality Issue,Store Credit,Approved,USD
REF00000745,ORD00000596,CUST003706,2025-04-11,419.17,Late Delivery,Bank Transfer,Approved,USD
REF00000746,ORD00016276,CUST003649,2024-05-06,1433.75,Customer Changed Mind,Gift Card,Approved,USD
REF00000747,ORD00015379,CUST000263,2023-05-24,1119.32,Wrong Product,Store Credit,Approved,USD
REF00000748,ORD00022170,CUST002481,2023-04-08,4571.89,Late Delivery,Original Payment Method,Approved,USD
REF00000749,ORD00004177,CUST001305,2024-12-28,5831.13,Missing Parts,Bank Transfer,Approved,USD
REF00000750,ORD00013247,CUST004992,2023-08-27,1894.34,Quality Issue,Bank Transfer,Rejected,USD
REF00000751,ORD00000460,CUST002565,2024-10-19,34.77,Duplicate Charge,Bank Transfer,Approved,USD
REF00000752,ORD00006560,CUST004137,2024-08-11,1185.17,Missing Parts,Original Payment Method,Pending,USD
REF00000753,ORD00005535,CUST002506,2023-09-22,609.69,Wrong Product,Gift Card,Approved,USD
REF00000754,ORD00028629,CUST000775,2023-06-01,414.1,Missing Parts,Bank Transfer,Approved,USD
REF00000755,ORD00015105,CUST003285,2025-02-15,2739.73,Missing Parts,Store Credit,Approved,USD
REF00000756,ORD00004297,CUST001110,2023-10-23,707.18,Wrong Product,Gift Card,Pending,USD
REF00000757,ORD00026877,CUST001666,2025-05-24,1515.08,Customer Changed Mind,Gift Card,Approved,USD
REF00000758,ORD00025042,CUST002962,2024-10-24,2921.05,Duplicate Charge,Gift Card,Approved,USD
REF00000759,ORD00001392,CUST001245,2023-07-01,268.05,Quality Issue,Original Payment Method,Rejected,USD
REF00000760,ORD00016094,CUST002516,2024-11-05,519.35,Wrong Product,Original Payment Method,Pending,USD
REF00000761,ORD00016323,CUST004462,2023-02-23,775.58,Duplicate Charge,Gift Card,Approved,USD
REF00000762,ORD00008207,CUST000044,2025-08-18,258.42,Customer Changed Mind,Store Credit,Approved,USD
REF00000763,ORD00017689,CUST003357,2025-12-05,2220.71,Quality Issue,Bank Transfer,Approved,USD
REF00000764,ORD00011471,CUST002500,2024-05-10,3294.14,Quality Issue,Bank Transfer,Approved,USD
REF00000765,ORD00012207,CUST002227,2026-05-07,580.49,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000766,ORD00004294,CUST004111,2024-11-12,3032.68,Damaged Item,Gift Card,Approved,USD
REF00000767,ORD00005112,CUST004338,2026-05-28,4186.72,Product Not as Described,Original Payment Method,Approved,USD
REF00000768,ORD00005041,CUST003373,2023-11-13,3224.1,Wrong Product,Gift Card,Approved,USD
REF00000769,ORD00019141,CUST004986,2025-12-19,180.39,Duplicate Charge,Bank Transfer,Rejected,USD
REF00000770,ORD00008526,CUST001163,2023-07-16,645.88,Customer Changed Mind,Bank Transfer,Pending,USD
REF00000771,ORD00014885,CUST002792,2026-06-19,1463.42,Duplicate Charge,Original Payment Method,Approved,USD
REF00000772,ORD00015997,CUST000149,2025-07-11,2686.89,Quality Issue,Store Credit,Rejected,USD
REF00000773,ORD00014511,CUST002901,2025-05-29,766.4,Late Delivery,Bank Transfer,Pending,USD
REF00000774,ORD00019545,CUST002826,2026-09-09,1334.07,Missing Parts,Bank Transfer,Approved,USD
REF00000775,ORD00027722,CUST002037,2024-02-29,1283.82,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000776,ORD00009047,CUST000784,2023-02-20,424.54,Damaged Item,Store Credit,Approved,USD
REF00000777,ORD00025787,CUST000608,2023-09-24,1111.26,Product Not as Described,Store Credit,Approved,USD
REF00000778,ORD00017262,CUST001867,2023-06-15,1954.34,Quality Issue,Store Credit,Rejected,USD
REF00000779,ORD00018794,CUST004123,2024-08-20,2225.84,Damaged Item,Gift Card,Approved,USD
REF00000780,ORD00022143,CUST003871,2026-04-22,648.02,Late Delivery,Gift Card,Approved,USD
REF00000781,ORD00013075,CUST001700,2026-07-21,70.58,Duplicate Charge,Gift Card,Pending,USD
REF00000782,ORD00012246,CUST004978,2023-05-26,338.12,Missing Parts,Original Payment Method,Approved,USD
REF00000783,ORD00006846,CUST002746,2024-08-15,2204.52,Wrong Product,Original Payment Method,Approved,USD
REF00000784,ORD00029065,CUST003240,2023-10-14,22.57,Product Not as Described,Original Payment Method,Approved,USD
REF00000785,ORD00013114,CUST003480,2024-12-25,2393.34,Missing Parts,Bank Transfer,Approved,USD
REF00000786,ORD00016825,CUST002564,2024-03-03,625.01,Customer Changed Mind,Original Payment Method,Rejected,USD
REF00000787,ORD00006806,CUST003910,2026-03-12,301.95,Missing Parts,Original Payment Method,Approved,USD
REF00000788,ORD00007980,CUST004428,2025-06-17,5.51,Missing Parts,Store Credit,Approved,USD
REF00000789,ORD00015932,CUST002520,2024-07-10,1119.32,Late Delivery,Bank Transfer,Rejected,USD
REF00000790,ORD00023482,CUST001744,2025-09-04,645.47,Damaged Item,Original Payment Method,Approved,USD
REF00000791,ORD00024257,CUST003484,2025-11-23,291.02,Quality Issue,Store Credit,Approved,USD
REF00000792,ORD00022132,CUST003500,2023-07-04,277.13,Customer Changed Mind,Bank Transfer,Pending,USD
REF00000793,ORD00011587,CUST003138,2024-07-01,3692.65,Missing Parts,Original Payment Method,Approved,USD
REF00000794,ORD00007181,CUST001138,2026-06-21,640.62,Damaged Item,Bank Transfer,Approved,USD
REF00000795,ORD00021637,CUST003916,2026-07-11,84.19,Product Not as Described,Gift Card,Approved,USD
REF00000796,ORD00027446,CUST002166,2025-02-08,3257.46,Wrong Product,Bank Transfer,Approved,USD
REF00000797,ORD00014086,CUST001855,2024-01-14,2383.36,Missing Parts,Bank Transfer,Rejected,USD
REF00000798,ORD00025239,CUST004727,2025-12-26,876.98,Missing Parts,Gift Card,Approved,USD
REF00000799,ORD00004694,CUST004668,2023-04-30,2806.39,Product Not as Described,Bank Transfer,Rejected,USD
REF00000800,ORD00023054,CUST001547,2026-06-20,603.34,Wrong Product,Gift Card,Approved,USD
REF00000801,ORD00027333,CUST004204,2025-04-12,2140.91,Wrong Product,Bank Transfer,Approved,USD
REF00000802,ORD00007101,CUST002216,2023-07-09,3731.88,Product Not as Described,Bank Transfer,Pending,USD
REF00000803,ORD00014408,CUST001137,2024-09-22,3428.12,Wrong Product,Bank Transfer,Approved,USD
REF00000804,ORD00015167,CUST002270,2025-11-22,100.48,,Bank Transfer,Approved,USD
REF00000805,ORD00013629,CUST002512,2026-01-19,6111.13,Duplicate Charge,Original Payment Method,Approved,USD
REF00000806,ORD00007088,CUST002219,2024-05-02,75.92,Damaged Item,Original Payment Method,Approved,USD
REF00000807,ORD00024974,CUST001379,2025-02-24,81.73,Product Not as Described,Original Payment Method,Pending,USD
REF00000808,ORD00012925,CUST003750,2025-10-29,3144.87,Missing Parts,Store Credit,Pending,USD
REF00000809,ORD00021296,CUST002557,2025-01-18,3759.57,Quality Issue,Bank Transfer,Approved,USD
REF00000810,ORD00013611,CUST001792,2023-05-10,2710.22,Missing Parts,Bank Transfer,Approved,USD
REF00000811,ORD00029062,CUST003338,2025-08-12,652.25,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000812,ORD00010833,CUST001692,2025-02-15,1282.63,Missing Parts,Gift Card,Pending,USD
REF00000813,ORD00019229,CUST004776,2023-08-03,544.38,Wrong Product,Gift Card,Pending,USD
REF00000814,ORD00009166,CUST002345,2024-02-08,988.29,Duplicate Charge,Bank Transfer,Approved,USD
REF00000815,ORD00028180,CUST002694,2025-11-06,75.65,Wrong Product,Original Payment Method,Approved,USD
REF00000816,ORD00005467,CUST000823,2026-01-25,443.17,Wrong Product,Bank Transfer,Approved,USD
REF00000817,ORD00026106,CUST004114,2025-11-16,1101.53,Quality Issue,Gift Card,Approved,USD
REF00000818,ORD00014313,CUST001487,2025-07-20,757.94,Quality Issue,Gift Card,Approved,USD
REF00000819,ORD00022690,CUST004339,2024-06-03,266.24,Damaged Item,Gift Card,Approved,USD
REF00000820,ORD00011884,CUST000224,2025-11-02,4276.65,Customer Changed Mind,Gift Card,Pending,USD
REF00000821,ORD00020759,CUST003478,2026-06-24,192.96,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000822,ORD00010703,CUST004081,2025-05-13,1253.82,Duplicate Charge,Bank Transfer,Approved,USD
REF00000823,ORD00002550,CUST004522,2024-10-02,458.96,Quality Issue,Gift Card,Approved,USD
REF00000824,ORD00006103,CUST003312,2025-07-02,37.61,Customer Changed Mind,Gift Card,Approved,USD
REF00000825,ORD00007231,CUST000418,2023-01-26,156.69,Late Delivery,Bank Transfer,Pending,USD
REF00000826,ORD00016154,CUST002277,2024-05-19,327.86,Quality Issue,Bank Transfer,Approved,USD
REF00000827,ORD00011544,CUST004869,2026-02-26,641.68,Quality Issue,Store Credit,Approved,USD
REF00000828,ORD00012213,CUST001305,2024-11-08,2073.77,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000829,ORD00013767,CUST003743,2023-07-21,1053.51,Wrong Product,Original Payment Method,Approved,USD
REF00000830,ORD00019582,CUST000073,2023-09-16,1221.44,Missing Parts,Store Credit,Rejected,USD
REF00000831,ORD00026590,CUST004829,2026-05-08,651.03,Damaged Item,Gift Card,Approved,USD
REF00000832,ORD00024670,CUST001002,2023-07-05,401.1,Wrong Product,Store Credit,Approved,USD
REF00000833,ORD00008803,CUST000270,2026-01-09,594.08,Wrong Product,Store Credit,Approved,USD
REF00000834,ORD00003682,CUST001606,2023-04-24,1128.63,Damaged Item,Gift Card,Approved,USD
REF00000835,ORD00005942,CUST002809,2026-04-03,723.57,Duplicate Charge,Store Credit,Approved,USD
REF00000836,ORD00001123,CUST003615,2025-11-30,873.65,Late Delivery,Bank Transfer,Approved,USD
REF00000837,ORD00000055,CUST002849,2023-06-20,1965.96,Late Delivery,Store Credit,Approved,USD
REF00000838,ORD00017791,CUST004730,2026-02-05,892.31,Duplicate Charge,Bank Transfer,Pending,USD
REF00000839,ORD00029058,CUST001363,2024-07-12,962.71,Product Not as Described,Gift Card,Approved,USD
REF00000840,ORD00017312,CUST000135,2025-09-16,324.84,Product Not as Described,Store Credit,Approved,USD
REF00000841,ORD00007206,CUST001932,2026-04-05,1199.07,Quality Issue,Gift Card,Approved,USD
REF00000842,ORD00017053,CUST003478,2025-08-28,1300.43,Customer Changed Mind,Store Credit,Approved,USD
REF00000843,ORD00017131,CUST000307,2025-03-08,592.49,Late Delivery,Gift Card,Approved,USD
REF00000844,ORD00007944,CUST004965,2023-07-17,3698.04,Product Not as Described,Bank Transfer,Approved,USD
REF00000845,ORD00014352,CUST002344,2025-09-30,1115.13,Duplicate Charge,Original Payment Method,Approved,USD
REF00000846,ORD00020083,CUST001064,2024-09-22,2205.26,Late Delivery,Gift Card,Approved,USD
REF00000847,ORD00026538,CUST000683,2023-06-29,532.44,Quality Issue,Bank Transfer,Approved,USD
REF00000848,ORD00004982,CUST001169,2024-11-19,1681.84,Quality Issue,Store Credit,Approved,USD
REF00000849,ORD00016420,CUST003494,2025-12-03,708.42,Late Delivery,Original Payment Method,Approved,USD
REF00000850,ORD00012550,CUST001699,2026-02-24,229.7,Late Delivery,Store Credit,Approved,USD
REF00000851,ORD00008000,CUST001806,2026-02-11,1424.81,Customer Changed Mind,Store Credit,Approved,USD
REF00000852,ORD00011442,CUST002547,2025-05-12,349.67,Wrong Product,Gift Card,Approved,USD
REF00000853,ORD00026727,CUST001766,2026-06-17,322.93,Quality Issue,Original Payment Method,Approved,USD
REF00000854,ORD00022893,CUST001654,2026-07-22,1730.79,Late Delivery,Original Payment Method,Approved,USD
REF00000855,ORD00002819,CUST000834,2025-05-31,515.67,Damaged Item,Bank Transfer,Pending,USD
REF00000856,ORD00018058,CUST004272,2023-08-10,3246.89,Product Not as Described,Store Credit,Approved,USD
REF00000857,ORD00010523,CUST004500,2025-11-27,255.7,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000858,ORD00004946,CUST000152,2026-06-25,378.8,Quality Issue,Gift Card,Approved,USD
REF00000859,ORD00005428,CUST002186,2026-05-27,207.2,Damaged Item,Original Payment Method,Approved,USD
REF00000860,ORD00005608,CUST000065,2025-07-04,1907.15,Wrong Product,Gift Card,Approved,USD
REF00000861,ORD00008392,CUST001286,2023-12-04,556.97,Late Delivery,Bank Transfer,Rejected,USD
REF00000862,ORD00004624,CUST003279,2024-11-01,1407.37,Missing Parts,Bank Transfer,Approved,USD
REF00000863,ORD00024380,CUST003331,2026-01-22,1068.39,Late Delivery,Original Payment Method,Pending,USD
REF00000864,ORD00024086,CUST001632,2025-02-16,1375.09,Quality Issue,Store Credit,Approved,USD
REF00000865,ORD00016315,CUST000067,2024-10-03,1339.89,Damaged Item,Gift Card,Approved,USD
REF00000866,ORD00009827,CUST003945,2024-10-23,952.15,Damaged Item,Original Payment Method,Rejected,USD
REF00000867,ORD00009054,CUST000748,2025-02-27,4655.92,Quality Issue,Store Credit,Approved,USD
REF00000868,ORD00001670,CUST004196,2024-06-29,1673.98,Missing Parts,Store Credit,Pending,USD
REF00000869,ORD00012303,CUST003800,2026-01-11,3394.02,Damaged Item,Gift Card,Approved,USD
REF00000870,ORD00008837,CUST000732,2025-02-26,285.93,,Original Payment Method,Approved,USD
REF00000871,ORD00005810,CUST000265,2024-07-24,909.01,Damaged Item,Store Credit,Approved,USD
REF00000872,ORD00026836,CUST003836,2023-08-11,726.87,Late Delivery,Store Credit,Approved,USD
REF00000873,ORD00005223,CUST003451,2023-11-25,19.29,Product Not as Described,Bank Transfer,Pending,USD
REF00000874,ORD00023845,CUST002838,2025-01-16,2437.83,Wrong Product,Bank Transfer,Approved,USD
REF00000875,ORD00013185,CUST004413,2023-04-14,379.97,Quality Issue,Bank Transfer,Approved,USD
REF00000876,ORD00024331,CUST001660,2025-10-06,2312.02,Missing Parts,Bank Transfer,Approved,USD
REF00000877,ORD00008638,CUST004087,2023-10-04,50.62,Wrong Product,Bank Transfer,Pending,USD
REF00000878,ORD00004054,CUST003251,2026-04-06,2937.25,Quality Issue,Original Payment Method,Approved,USD
REF00000879,ORD00024679,CUST001425,2025-05-21,792.31,Late Delivery,Gift Card,Rejected,USD
REF00000880,ORD00023977,CUST003085,2023-03-22,907.11,Duplicate Charge,Bank Transfer,Approved,USD
REF00000881,ORD00005388,CUST001278,2023-08-24,2153.83,Late Delivery,Original Payment Method,Approved,USD
REF00000882,ORD00000232,CUST003327,2025-06-26,1080.02,Customer Changed Mind,Bank Transfer,Approved,USD
REF00000883,ORD00013397,CUST004837,2023-05-09,3010.0,Duplicate Charge,Original Payment Method,Approved,USD
REF00000884,ORD00002135,CUST004557,2023-11-14,703.74,Late Delivery,Original Payment Method,Pending,USD
REF00000885,ORD00022054,CUST001811,2025-10-05,700.09,Missing Parts,Store Credit,Approved,USD
REF00000886,ORD00013402,CUST003119,2023-12-02,283.87,Late Delivery,Gift Card,Approved,USD
REF00000887,ORD00013855,CUST000490,2025-08-24,4162.91,Wrong Product,Original Payment Method,Approved,USD
REF00000888,ORD00029123,CUST004591,2024-07-08,1868.86,Duplicate Charge,Original Payment Method,Approved,USD
REF00000889,ORD00009943,CUST000189,2024-06-18,2556.63,Product Not as Described,Store Credit,Pending,USD
REF00000890,ORD00009272,CUST000673,2025-09-05,2984.75,Customer Changed Mind,Gift Card,Approved,USD
REF00000891,ORD00013160,CUST003559,2024-08-16,164.79,Wrong Product,Store Credit,Approved,USD
REF00000892,ORD00003558,CUST002212,2026-06-24,356.9,Quality Issue,Gift Card,Approved,USD
REF00000893,ORD00021051,CUST000078,2024-02-26,974.61,Quality Issue,Store Credit,Approved,USD
REF00000894,ORD00020958,CUST002988,2023-04-07,1325.68,Customer Changed Mind,Original Payment Method,Approved,USD
REF00000895,ORD00026326,CUST002196,2025-10-07,249.28,Late Delivery,Original Payment Method,Approved,USD
REF00000896,ORD00001158,CUST004970,2024-09-14,437.48,Customer Changed Mind,Gift Card,Pending,USD
REF00000897,ORD00009555,CUST004931,2024-02-26,3118.58,Wrong Product,Store Credit,Rejected,USD
REF00000898,ORD00020874,CUST000923,2025-12-13,5089.27,Damaged Item,Original Payment Method,Approved,USD
REF00000899,ORD00006131,CUST004533,2025-08-16,87.07,Damaged Item,Original Payment Method,Approved,USD
REF00000900,ORD00010684,CUST001809,2024-04-26,871.79,Product Not as Described,Original Payment Method,Approved,USD
REF00000901,ORD00009407,CUST004924,2023-12-18,2085.36,Product Not as Described,Gift Card,Approved,USD
REF00000902,ORD00009479,CUST004027,2024-11-22,4462.34,Missing Parts,Original Payment Method,Approved,USD
REF00000903,ORD00028249,CUST003043,2023-12-14,3230.66,Missing Parts,Bank Transfer,Approved,USD
REF00000904,ORD00017360,CUST002144,2024-10-25,1880.04,Damaged Item,Original Payment Method,Pending,USD
REF00000905,ORD00020077,CUST001281,2025-03-17,874.99,Late Delivery,Gift Card,Approved,USD
REF00000906,ORD00008499,CUST000265,2023-05-12,3992.75,Late Delivery,Original Payment Method,Approved,USD
REF00000907,ORD00019674,CUST001816,2024-07-09,899.71,Duplicate Charge,Original Payment Method,Pending,USD
REF00000908,ORD00027035,CUST001975,2023-05-21,75.74,Late Delivery,Original Payment Method,Approved,USD
REF00000909,ORD00015284,CUST003152,2023-02-23,388.37,Wrong Product,Bank Transfer,Approved,USD
REF00000910,ORD00018228,CUST000737,2024-08-09,516.02,Quality Issue,Bank Transfer,Approved,USD
REF00000911,ORD00006356,CUST004043,2025-06-29,5161.29,Wrong Product,Gift Card,Approved,USD
